Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
100% Corpus,7,0.61,0.9099999999999999,0.3576104519670294,-7.075153895765565
100% Corpus,7,0.61,symmetric,0.4549611786946775,-7.073368168837069
100% Corpus,7,0.9099999999999999,0.01,0.46900272021881023,-42.29106843351054
100% Corpus,7,0.9099999999999999,0.31,0.4257423258131153,-7.07814540633185
100% Corpus,7,0.9099999999999999,0.61,0.4025113309030822,-7.0621290495568925
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3532562782532128,-7.130281620040543
100% Corpus,7,0.9099999999999999,symmetric,0.45039747358647536,-7.116606275108381
100% Corpus,7,symmetric,0.01,0.4362555288135327,-41.03420770254744
100% Corpus,7,symmetric,0.31,0.36595601329247923,-6.828318900397369
100% Corpus,7,symmetric,0.61,0.37069220830844996,-6.762877229283333
100% Corpus,7,symmetric,0.9099999999999999,0.3551096394319245,-6.845465313279206
100% Corpus,7,symmetric,symmetric,0.43859661133962186,-7.012050422706493
100% Corpus,7,asymmetric,0.01,0.4163639366728352,-41.062865694703966
100% Corpus,7,asymmetric,0.31,0.3745524025624947,-6.771920956890583
100% Corpus,7,asymmetric,0.61,0.32447790393911313,-6.7467190947415
100% Corpus,7,asymmetric,0.9099999999999999,0.41370315236508126,-6.791482913612326
100% Corpus,7,asymmetric,symmetric,0.42781205643148185,-7.106503283192501
100% Corpus,8,0.01,0.01,0.4419005033691956,-44.49302380952093
100% Corpus,8,0.01,0.31,0.34551314750923984,-6.838487980746855
100% Corpus,8,0.01,0.61,0.34076633994051553,-6.728349055082749
100% Corpus,8,0.01,0.9099999999999999,0.32430586883245344,-6.714906819605627
100% Corpus,8,0.01,symmetric,0.45398165521760403,-7.242955981256527
100% Corpus,8,0.31,0.01,0.4341114404663642,-40.82334807188523
100% Corpus,8,0.31,0.31,0.3993999223931568,-6.967674325810971
100% Corpus,8,0.31,0.61,0.34128134883524486,-6.936362893401976
100% Corpus,8,0.31,0.9099999999999999,0.36117949283127126,-7.027359946634291
100% Corpus,8,0.31,symmetric,0.4398304905437383,-7.144479526942727
100% Corpus,8,0.61,0.01,0.4474338180195394,-41.75092433659156
100% Corpus,8,0.61,0.31,0.38628230374438594,-7.017107435731785
100% Corpus,8,0.61,0.61,0.3302864537570902,-7.059793873287089
100% Corpus,8,0.61,0.9099999999999999,0.36423623444507314,-7.134458135716227
100% Corpus,8,0.61,symmetric,0.4379358341552213,-7.128767492287366
100% Corpus,8,0.9099999999999999,0.01,0.45287770619691536,-42.79169653043335
100% Corpus,8,0.9099999999999999,0.31,0.389245575026962,-7.083605789896049
100% Corpus,8,0.9099999999999999,0.61,0.36572362842041267,-7.092602483664169
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3161963422633406,-7.188405326978991
100% Corpus,8,0.9099999999999999,symmetric,0.4263962778968611,-7.181495262163766
100% Corpus,8,symmetric,0.01,0.45613685006824933,-40.798370724903265
100% Corpus,8,symmetric,0.31,0.3877034893273531,-6.818275135247553
100% Corpus,8,symmetric,0.61,0.35159586790338054,-6.755056187368756
